"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,125751292,1,11,14298643
2020,5,125754860,1,1,14210108
2020,5,125754864,1,1,14210110
2020,5,125754956,1.6,1,14210126
2020,5,125755132,6,1,14210151
2020,5,125751600,1,1,14210156
2020,17,125752103,,,14298750
2020,5,125756066,1,3,14298766
2020,12,125752274,1,3,14298768
2020,12,125756232,0.002,1,14210302
2020,12,125752441,0.001,3,14298792
2020,12,125756318,1,1,14210313
2020,5,125756326,0.3,1,14210314
2020,5,125756399,27,1,14210320
2020,17,125756425,,,14210323
2020,5,125756523,0.1,1,14210337
2020,16,125752621,4,9,14298824
2020,12,125752698,845.3,1,14298835
2020,5,125752698,13.01,1,14298836
2020,5,125756751,3.41,4,14298838
2020,5,125756848,13,1,14210378
2020,5,125752799,1.9,1,14298845
2020,12,130506429,0.005,1,15179098
2020,5,130503039,7,1,15179143
2020,12,130506720,3,1,15176142
2020,5,130503610,24.3,1,15179204
2020,12,130503935,1,11,15176224
2020,5,130504086,4.1,4,15179265
2020,12,130504086,13.8,4,15179264
2020,5,130507663,336,4,15179268
2020,2,130507741,3,1,15179277
2020,5,130507741,3,1,15176257
2020,12,130507741,3,1,15179278
2020,5,130507747,5,1,15176259
2020,4,130504433,0.001,3,15176275
2020,5,130508005,,,15179294
2020,8,130508005,,,15179293
2020,5,130504466,,,15176277
2020,8,130508079,,,15179296
2020,5,130509602,,,15179306
2020,5,130508299,,,15179314
2020,5,130510009,55.6,1,15176333
2020,12,130510083,5,1,15179365
2020,5,130510339,3,3,15179399
2020,12,130508852,3,1,15176404
2020,5,130510436,8.2,1,15179412
2020,5,130510451,1,11,15176424
2020,5,130508934,1,11,15179428
2020,16,130510541,1,1,15176442
2020,5,130510541,1,3,15176440
2020,5,130508993,3,1,15179445
2020,12,130509091,28.5,1,15179465
2020,17,130510743,,,15179479
2020,5,130510748,20,3,15176481
2020,16,130510748,139,9,15176482
2020,8,130510877,2,1,15179496
2020,5,130505776,5,1,15179056
2020,5,130502701,4,1,15176053
2020,5,130502773,0.9,1,15176057
2020,4,130506574,1.7,1,15176086
2020,12,130506574,3.1,1,15176087
2020,8,130506574,1,1,15176088
2020,12,130503076,2,1,15179149
2020,12,130503721,0.001,1,15176182
2020,12,130503780,1,1,15176187
2020,12,130503873,1,1,15176207
2020,5,130503926,1,11,15179238
2020,16,130503926,1,11,15176221
2020,5,130507544,0.1,4,15176242
2020,5,130504016,4.2,4,15176244
2020,7,130507561,4,9,15176247
2020,5,130504448,,,15176276
2020,5,130508394,,,15176314
2020,12,130509894,0.001,3,15176327
2020,12,130508838,4.5,9,15176399
2020,5,130508838,4,10,15176400
2020,17,130508838,3,9,15179406
2020,5,130510426,14,1,15176412
2020,5,130510459,7,1,15176425
2020,5,130510459,2,9,15179420
2020,17,130510522,,,15176437
2020,12,130510714,3.3,3,15176474
2020,4,130510714,0.4,1,15179471
2020,5,130510714,2.8,3,15176475
2020,12,130509254,1,11,15179495
2020,5,130511020,14,1,15176522
2020,5,130511311,1,1,15176563
2020,12,130511597,0.001,1,15176598
2020,12,130511670,1,1,15176610
2020,5,130515406,1,11,15176652
2020,5,130515428,1,1,15179623
2020,5,130515428,1,11,15179624
2020,12,130512072,1,11,15179636
2020,2,130515492,39,1,15179656
2020,12,130515492,23.9,1,15179655
2020,5,130515492,245,1,15176688
2020,12,130515716,0.001,1,15176698
2020,17,130512592,,,15179699
2020,5,130515995,0.014,1,15179706
2020,12,133581668,0.001,1,15897312
2020,8,133563329,1,11,15907750
2020,5,133563352,0.04,1,15897334
2020,5,133563438,1,11,15897351
2020,12,133563465,1,11,15907782
2020,5,133581986,38,1,15907810
2020,5,133582239,1.3,1,15907835
2020,12,133582239,0.1,1,15907834
2020,5,133563532,6.9,1,15907837
2020,1,133564008,1,1,15907870
2020,17,133582733,36,9,15907873
2020,12,133564163,0.4,1,15897439
2020,12,133582947,1,11,15907923
2020,12,133564385,1,1,15907942
2020,5,133564405,1,11,15907943
2020,5,133584580,1,11,15912476
2020,12,133584719,1,1,15907970
2020,5,133583580,0.002,1,15907981
2020,5,133583601,1,11,15907984
2020,5,133583606,0.001,1,15912509
2020,11,133584857,0.004,9,15912513
2020,12,133583673,,,15908002
2020,16,133583824,,,15908035
2020,5,133583996,2,3,15908052
2020,17,133584141,,,15908073
2020,12,133584166,0.6,1,15908081
2020,5,133584168,0.744,7,15912576
2020,5,133584168,23,1,15912577
2020,5,133584201,7,1,15908085
2020,5,133585340,1,3,15912588
2020,5,133584468,3,1,15912611
2020,12,133584468,2,1,15912612
2020,8,133584468,1,9,15908127
2020,5,133584519,3.5,1,15912622
2020,5,133584545,0.5,1,15908154
2020,5,133585625,8,1,15908167
2020,12,133585625,3,9,15912635
2020,8,133589578,11,9,15908177
2020,5,133585653,1,11,15912646
2020,16,133585649,1,11,15908184
2020,8,133585649,1,11,15908183
2020,5,133585649,1,11,15908182
2020,5,133585711,1,1,15908191
2020,5,133585869,32,1,15908216
2020,12,133589975,4,1,15912698
2020,5,133590189,3.5,1,15908269
2020,5,133586291,70.9,1,15912733
2020,2,130502840,0.8,1,15176062
2020,16,130502887,0.001,1,15176065
2020,5,130506546,21,1,15179117
2020,16,130502978,6,9,15176080
